trips;car;workschl;size;dist;smsa;fulltime;adults;distnod;realinc;weekend
2;1;0.5;6;0.5949;1;1;4;1;0.7;1
3;0;0.666667;2;0.5949;1;2;2;1;1.8;0
0;0;0;2;0.5949;1;0;2;1;0.44;0
0;0;0;4;0.5949;1;0;4;1;0.44;0
1;1;1;5;0.5949;1;1;1;1;0.7;1
1;1;1;1;6.083;1;1;1;1;1.8;0
2;0;1;2;6.083;1;2;2;1;1.4;1
2;1;0;4;2.7697;1;2;2;4.5;1.4;1
1;0;0;6;2.7697;1;0;2;1;0.44;0
0;0;0;4;2.7697;1;0;1;1;0.44;0
0;0;0;1;6.6633;1;1;1;1;4.5;1
2;1;1;3;6.6633;1;2;2;1;6;0
1;0;0;2;6.6633;1;0;2;4.5;0.7;0
6;1;0.166667;5;7.2156;1;2;4;1;1.4;0
0;0;0;3;7.2156;1;1;3;1;1.8;0
2;1;0;5;7.2156;1;1;2;1;1.4;0
2;1;0;2;8.2541;1;0;2;1;0.7;0
0;0;0;1;8.2541;1;0;1;1;0.7;0
4;0;0.5;3;8.2541;1;1;2;1;0.7;0
3;1;0;4;8.2541;1;1;2;1;1.8;0
8;1;0;4;9.2228;1;1;2;4.5;1.8;0
2;1;0.5;6;15.4975;1;1;3;1;0.7;0
11;1;0.272727;5;26.3535;1;1;2;27.5;1.4167;1
10;1;0.1;5;26.3535;1;1;2;27.5;1;0
20;1;0.05;4;26.3535;1;1;4;27.5;2.5;1
6;1;0.666667;5;26.3535;1;1;4;27.5;2.5;0
15;1;0.0666667;4;26.3535;1;1;2;27.5;2.5;1
0;0;0;1;23.2895;1;0;1;1;0.2;0
0;1;0;3;14.6328;1;1;3;1;1.08;0
1;1;1;2;15.0957;1;1;2;1;1.8;0
5;1;0.6;4;14.6328;1;2;4;1;1.8;0
0;1;0;2;18.6766;1;2;2;33.5;8.5;1
4;1;0;2;18.6766;1;0;2;11;6;0
8;1;0;3;18.6766;1;1;2;1;6;0
4;1;0;2;18.6766;1;0;2;33.5;4.5;0
7;1;0.142857;5;24.2959;0;1;4;50;1.4;0
2;1;0.5;3;10.3209;1;1;2;1;4.5;0
2;1;0.5;3;2.6698;0;1;3;1;0.7;0
11;1;0.363636;3;2.6698;0;1;2;1;0.7;0
4;1;0;2;8.3781;0;1;2;15.5;1.08;1
6;1;0.166667;4;8.3781;0;1;2;11;2.4;1
7;1;0;3;8.3781;0;1;3;4.5;2.4;1
10;1;0.5;3;8.3781;0;3;3;21.5;2.4;0
2;0;1;2;4.1178;1;0;2;4.5;1.75;0
5;1;0.6;5;4.1178;1;0;2;1;1.1;0
6;1;0.166667;3;17.8475;0;1;3;50;1.08;0
2;1;0.5;1;17.8475;0;0;1;15.5;0.44;0
3;1;0;2;17.8475;0;2;2;1;1.08;1
6;1;0.5;5;17.8475;0;0;3;11;0.7;0
8;1;0.125;5;21.932;0;1;2;1;1.4;0
16;1;0.125;4;21.7715;0;1;2;1;1.8;0
7;1;0;2;21.7715;0;0;2;4.5;0.2;0
3;1;1;5;21.7715;0;2;3;1;1.08;0
10;1;0.8;4;21.7715;0;2;3;1;1.8;0
3;1;0.666667;2;21.7715;0;2;2;1;6;0
4;1;0.25;4;21.7715;0;1;2;1;1.4;0
5;1;0.4;2;21.7715;0;1;2;1;1.8;0
5;1;0.4;2;13.7116;0;2;2;1;3.4;0
12;1;0.416667;5;13.7116;0;3;3;1;3.4;1
4;1;0.5;3;13.7116;0;2;3;21.5;2.4;0
11;1;0.636364;2;13.7116;0;1;2;1;1.8;1
9;1;0.444444;7;13.7116;0;2;4;1;1.8;1
2;1;1;2;5.8331;1;2;2;1;2.7;0
1;0;1;1;5.8331;1;1;1;1;4.5;0
0;1;0;2;5.8331;1;0;1;1;0.7;0
3;1;0.666667;2;5.8331;1;1;2;4.5;3.5;0
1;0;0;1;5.8331;1;0;1;1;1.1;0
3;0;0;3;5.8331;1;0;1;1;1.1;0
2;1;0.5;4;1.4839;1;1;4;1;4.5;0
8;1;0;2;12.0013;1;1;1;1;1.08;1
0;0;0;2;12.0013;1;0;1;1;0.28;0
0;0;0;7;6.3888;0;0;1;1;0.44;0
0;1;0;2;6.3888;0;0;2;1;0.7;0
19;1;0.578947;4;6.3888;0;2;3;1;3.4;0
14;1;0.285714;5;6.4043;0;2;2;1;1.4;0
11;1;0.0909091;4;10.6188;1;1;2;1;1.8;0
3;1;0.666667;2;10.6188;1;2;2;1;1.8;1
7;1;0.285714;5;10.6188;1;1;2;1;1.8;1
4;1;0.5;2;11.0245;1;2;2;1;1.08;0
1;1;1;5;11.0245;1;1;3;1;1.08;0
3;1;0;2;11.0245;1;1;2;1;1.8;0
4;1;0.5;3;301.129;0;2;3;50;1.08;0
0;0;0;2;3.9449;1;0;2;1;0.5;0
2;1;0.5;5;9.1;1;1;2;1;6;0
4;1;0;2;11.301;1;1;2;4.5;1.8;0
0;1;0;2;11.6965;1;1;2;4.5;1.08;0
12;1;0.416667;6;12.1908;0;2;5;50;1.8;0
20;1;0;5;12.1908;0;1;2;50;1.4;0
1;1;1;5;12.1908;0;2;4;33.5;1.8;0
5;1;0.6;2;12.1908;0;0;2;27.5;2.7;0
17;1;0.0588235;5;6.222;0;1;2;4.5;1.08;0
4;1;1;3;6.222;0;2;3;1;1.8;0
7;1;0;2;6.222;0;1;1;1;1.08;0
8;1;0.25;6;6.222;0;2;2;1;1.8;0
7;1;0.285714;4;6.222;0;2;2;1;1.08;0
3;1;0.666667;3;6.222;0;1;2;1;1.08;0
1;1;1;1;3.25;1;1;1;4.5;1.08;0
2;1;0;1;15.6978;0;1;1;1;1.4;1
3;0;0;1;15.6978;0;0;1;1;0.28;0
0;1;0;3;15.6978;0;1;2;1;1.8;0
4;1;0;1;1.8695;0;1;1;1;1.08;1
0;0;0;1;4.0325;1;0;1;4.5;0.7;0
3;1;0.333333;1;4.0325;1;1;1;1;4.5;0
0;1;0;1;5.4626;1;0;1;1;1.1;0
1;1;0;2;5.4626;1;2;2;1;6;1
1;1;1;3;5.4626;1;1;2;4.5;0.2;0
0;0;0;1;11.0795;0;0;1;1;1.75;1
5;1;0.6;6;11.0795;0;3;5;4.5;6;1
3;1;0;7;11.0795;0;0;3;1;4.5;0
4;1;1;5;11.0795;0;2;3;1;0.2;1
1;0;1;3;11.0795;0;1;2;1;0.2;1
0;0;0;1;11.384;0;0;1;4.5;0.5;1
5;1;0;2;11.384;0;0;2;1;0.2;1
4;1;0.5;2;11.384;0;1;2;1;4.5;1
1;1;1;3;11.384;0;0;2;1;0.9;1
0;1;0;2;11.384;0;0;2;1;6;1
5;1;0.6;3;11.384;1;1;2;1;1.75;1
7;1;0.285714;4;11.384;0;2;3;1;4.5;1
2;1;0;2;10.631;0;0;2;1;1.8;0
2;1;0.5;2;10.631;0;1;1;1;1.4;1
1;1;0;2;19.7896;1;1;2;1;1.8;0
2;1;0;2;19.7896;1;0;2;1;0.44;0
0;1;0;1;19.7896;1;0;1;1;0.28;0
0;0;0;1;19.7896;1;0;1;1;0.28;0
1;0;0;1;19.7896;1;0;1;1;0.2;1
7;1;0.142857;2;19.7896;1;1;2;1;1.4;1
0;1;0;1;19.6241;1;1;1;1;1.8;1
4;1;0;2;16.584;1;2;2;1;1.4;0
3;1;0.666667;2;16.584;1;2;2;4.5;1.08;1
3;1;0;4;20.3536;0;1;2;1;1.8;1
0;1;0;2;20.3536;0;1;2;1;1.8;0
1;1;0;3;20.3536;0;1;2;1;3.4;1
5;1;0.6;3;20.3536;0;2;2;1;1.4;0
3;1;0.333333;2;20.3536;0;2;2;1;1.8;0
14;1;0.428571;3;20.3536;0;1;1;1;0.7;0
7;1;0.142857;1;20.7006;0;0;1;1;0.28;0
2;0;0;1;12.7404;1;0;1;1;0.9;0
2;1;0;2;13.0728;1;0;2;1;1.75;0
7;1;0.142857;2;12.7404;1;1;2;1;4.5;0
0;1;0;2;13.0728;1;0;2;1;0.7;0
2;1;1;1;12.7404;1;0;1;1;0.9;0
1;1;0;1;12.7404;1;0;1;1;0.5;0
5;1;0.6;4;10.1417;0;1;2;1;2.4;0
0;0;0;1;10.1417;0;0;1;1;0.2;0
17;1;0.117647;6;10.1417;0;1;2;1;1.4;0
10;1;0.5;2;10.1417;0;1;2;1;0.7;0
0;1;0;4;5.6505;1;1;2;1;1.4167;0
0;1;0;3;12.5068;0;1;3;1;3.5;0
2;1;0;3;12.5328;0;1;2;1;1.75;0
9;1;0;4;12.5068;0;1;2;1;4.5;0
0;1;0;2;13.3141;0;0;2;4.5;1.75;0
0;1;0;2;13.3141;0;0;2;33.5;3.5;0
3;1;0;1;13.0855;0;0;1;4.5;1.75;0
0;0;0;1;13.0855;0;0;1;1;0.9;0
0;1;0;2;13.0855;0;0;2;4.5;1.75;0
0;1;0;3;13.0855;0;2;3;1;4.5;0
6;1;0.5;5;4.875;0;3;4;1;1.75;0
0;1;0;2;4.875;0;0;2;1;1.75;0
2;1;0;2;11.0997;0;0;2;4.5;1.75;0
2;1;0.5;5;11.0997;0;1;5;4.5;3.5;0
0;1;0;2;11.0997;0;0;2;4.5;0.7;0
4;1;0;4;11.0997;0;1;2;1;2.7;0
14;1;0.214286;6;11.0997;0;2;4;1;8.5;0
3;1;0.333333;3;84.7585;0;1;2;1;1.4;0
5;1;0.4;2;84.7585;0;2;2;1;2.4;0
5;1;0.6;2;6.5617;0;2;2;1;1.4;1
4;1;0.75;3;6.5617;0;0;1;1;0.36;0
5;1;0.4;3;6.5617;0;2;2;1;1.4;0
7;1;0.428571;2;6.5617;0;2;2;1;2.4;0
3;1;0.333333;2;16.6;0;2;2;33.5;1.8;1
5;1;0;2;16.6;0;0;2;1;0.36;0
3;1;0.333333;2;16.6;0;1;2;4.5;1.08;0
1;1;1;3;16.6;0;2;3;1;1.8;0
1;1;1;4;16.6;0;1;2;11;1.08;1
3;1;0.333333;3;12.5933;0;1;2;1;2.7;0
8;1;0.25;3;12.5;0;1;1;11;4.5;0
0;1;0;2;5.7862;0;0;2;1;3.5;0
2;1;0;1;5.759;0;1;1;1;0.75;0
11;1;0.0909091;3;5.759;0;2;2;1;0.75;0
7;1;0.714286;5;21.0972;0;1;3;27.5;3.5;0
2;1;0.5;8;17.6899;0;1;4;50;1.1;1
3;1;0.666667;4;14.9867;0;3;4;50;6;0
3;1;0;5;14.4517;0;2;2;4.5;2.4;0
10;1;0.5;4;24.9488;0;2;2;50;4.5;0
6;1;0.5;4;1.2782;1;4;4;1;4.5;0
10;1;0.3;4;2.3387;0;2;3;11;1.8;0
8;1;0.5;3;1.5693;0;3;3;4.5;2.4;0
9;1;0.333333;3;8.16;0;2;3;1;1;1
4;1;0.25;5;8.16;0;1;2;1;1;0
9;1;0.666667;2;8.16;0;1;2;1;1.4167;0
3;1;0.666667;1;8.16;0;1;1;1;0.75;0
4;1;0.25;4;32.9519;0;1;2;50;1.8;1
2;1;0.5;4;9.453;1;1;4;1;1.4;1
2;1;0;3;9.453;1;1;2;1;1.4;0
0;1;0;2;7.4742;0;0;2;1;0.7;0
2;1;0;2;7.4742;0;0;2;1;0.7;0
0;1;0;2;7.4742;0;0;2;1;0.44;0
4;1;0;1;7.4742;0;1;1;1;1.4;1
1;1;0;3;7.4742;0;2;3;1;1.4;1
15;1;0.0666667;6;7.4742;0;1;2;1;1.8;1
12;1;0;9;2.8612;1;0;2;1;0.7;1
2;1;0.5;2;3.1219;1;2;2;1;1.4;1
3;1;0.333333;2;2.8234;1;1;2;1;1.08;0
1;0;0;1;16.4598;0;0;1;4.5;0.2;0
3;1;1;6;16.4598;0;2;4;11;1.8;0
1;1;0;3;5.5311;0;0;2;1;1.8;0
4;0;0;2;5.5311;0;1;2;1;1.08;1
0;0;0;1;5.6466;0;0;1;1;0.08;0
1;1;0;3;27.2264;0;0;3;50;0.7;0
2;1;0.5;2;27.2264;0;0;2;50;0.7;0
10;1;0.2;4;27.2264;0;1;2;50;2.7;0
7;1;0.142857;5;27.2264;0;2;2;50;4.5;0
12;1;0.0833333;4;27.2264;0;2;4;50;6;0
0;1;0;6;27.2264;0;1;2;50;2.7;0
6;1;0.166667;1;27.2264;0;1;1;50;8.5;1
5;1;0;2;6.7593;1;0;2;1;1.08;0
3;1;0.333333;2;6.7593;1;1;2;1;1.4;1
12;1;0.583333;2;6.7669;1;2;2;1;1.8;0
6;1;0;2;6.7823;1;1;2;1;1.8;0
3;1;0.333333;3;6.8174;1;1;2;1;1.8;1
2;1;0;2;6.875;1;0;2;1;0.7;1
2;1;0;2;6.8403;1;0;2;1;1.8;1
6;1;0.5;2;6.8174;1;2;2;1;1.8;0
10;1;0.4;5;10.1835;0;0;4;4.5;0.5833;1
15;1;0.2;4;9.9581;0;1;3;1;1;1
6;1;0;2;1.4409;1;2;2;4.5;2.4;0
2;1;0;2;1.4409;1;0;2;1;0.28;0
4;1;0;1;1.4409;1;0;1;1;0.36;0
5;1;0.6;4;3.9531;1;1;2;4.5;1.8;0
2;1;1;4;3.9531;1;1;2;4.5;1.08;0
7;1;0.571429;6;3.9531;1;1;2;1;1.8;0
2;1;0;1;1.6492;1;0;1;4.5;4.5;0
0;0;0;1;1.6492;1;0;1;1;3.5;0
1;0;1;1;2.8044;1;0;1;33.5;12;0
15;1;0.133333;3;7.7736;1;2;3;1;2.4;0
2;1;0.5;2;2.6825;1;1;2;1;1.8;0
5;1;0.8;4;2.7019;1;1;2;1;1.08;0
9;1;0.444444;3;6.7664;1;1;2;4.5;1.4;0
9;1;0;2;6.7664;1;1;2;33.5;1.8;0
10;1;0.5;3;2.3286;1;1;2;33.5;3.4;0
0;0;0;1;3.5316;0;0;1;1;0.7;0
1;0;0;1;3.5316;0;0;1;1;0.7;0
0;0;0;1;3.5316;0;0;1;1;0.2;0
0;0;0;1;3.5316;0;0;1;1;0.2;0
0;0;0;1;3.5316;0;0;1;1;0.2;0
0;0;0;2;3.5316;0;0;2;1;1.75;0
0;0;0;1;1.9886;1;0;1;1;0.44;0
4;1;0.25;4;1.9886;1;1;3;1;2.4;0
3;1;0.666667;4;1.9886;1;1;2;1;1.08;0
0;1;0;2;1.9886;1;0;2;1;0.7;0
1;1;1;2;1.95;1;0;2;1;1.8;0
1;1;1;1;1.95;1;1;1;1;0.44;0
0;0;0;1;1.95;1;0;1;1;0.2;0
3;1;0.666667;3;1.95;1;2;2;4.5;1.8;0
4;1;0.5;2;6.7324;1;2;2;27.5;2.5;0
7;1;0;2;5.948;0;1;2;50;1.4;0
14;1;0.214286;4;5.948;0;1;2;50;1.4;0
7;1;0.857143;4;5.948;0;2;4;50;2.4;0
9;1;0.222222;3;5.948;0;2;2;50;2.4;0
7;1;0.571429;2;5.948;0;2;2;50;3.4;0
3;1;1;4;5.948;0;2;2;50;2.4;0
24;1;0.125;7;5.948;0;3;5;50;3.4;0
0;0;0;2;1.3802;1;0;2;1;0.36;1
2;0;1;2;1.3802;1;0;1;1;0.08;0
0;0;0;1;1.3802;1;0;1;1;0.7;0
3;0;0;1;3.1428;1;0;1;1;0.7;1
15;1;0.133333;3;3.1428;1;1;2;1;6;1
1;1;0;3;2.9388;1;1;2;1;3.5;0
9;1;0.444444;4;2.9388;1;2;4;1;4.5;0
10;1;0.3;6;2.9388;1;1;2;1;4.5;0
4;1;0.25;5;2.9388;1;1;2;1;4.5;0
3;0;0;13;28.7562;0;0;7;4.5;0.2917;1
4;1;0.5;3;4.7766;1;3;3;1;1.8;0
6;0;0;2;4.7541;1;1;1;1;0.7;1
7;1;0.285714;4;4.7766;1;2;2;1;1.4;0
2;1;0;1;6.6638;1;0;1;1;4.5;1
7;1;0.285714;1;6.6638;1;1;1;1;3.5;0
9;1;0.222222;4;6.4347;1;2;2;1;2.7;0
7;1;0.428571;2;8.3064;1;1;2;1;15;0
4;1;0.5;4;8.1423;1;1;3;1;15;0
4;1;0;2;8.1423;1;1;2;1;15;0
6;1;0;6;8.3475;1;2;5;1;15;0
16;1;0.25;6;8.4707;1;1;2;1;15;0
3;1;0;3;8.4707;1;1;2;1;15;0
15;1;0.2;5;8.4297;1;2;2;1;15;0
4;1;0;4;6.5603;0;2;2;15.5;4.5;0
4;1;0;3;6.5603;0;1;2;15.5;3.5;0
